date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:25:16	191622/191622	---M--	200	added ('OK')	image/jpeg	etag:%2258a86828-2ec86%22	http://hush-staging.awcoagency.com/assets/Colour-Riot-Hero-Image-Left.jpg	C:/Users/Dominique/Desktop/findyourstyle/hush-staging.awcoagency.com/assets/Colour-Riot-Hero-Image-Left.jpg	(from http://whatsmystylepersonality.com/)
20:25:16	727/727	---M--	200	added ('OK')	image/svg+xml	etag:%22201bad-2d7-548e04891d5bf%22	http://whatsmystylepersonality.com/img/arrow.svg	C:/Users/Dominique/Desktop/findyourstyle/whatsmystylepersonality.com/img/arrow.svg	(from http://whatsmystylepersonality.com/)
20:25:17	3301/3301	---M--	200	added ('OK')	image/svg+xml	etag:%2258a97ec2-ce5%22	http://whatsmystylepersonality.com/img/instagram.svg	C:/Users/Dominique/Desktop/findyourstyle/whatsmystylepersonality.com/img/instagram.svg	(from http://whatsmystylepersonality.com/)
20:25:17	1383/1383	---M--	200	added ('OK')	image/svg+xml	etag:%2258a97ec0-567%22	http://whatsmystylepersonality.com/img/facebook.svg	C:/Users/Dominique/Desktop/findyourstyle/whatsmystylepersonality.com/img/facebook.svg	(from http://whatsmystylepersonality.com/)
20:25:17	2642/2642	---M--	200	added ('OK')	image/svg+xml	etag:%2258a97ec4-a52%22	http://whatsmystylepersonality.com/img/twitter.svg	C:/Users/Dominique/Desktop/findyourstyle/whatsmystylepersonality.com/img/twitter.svg	(from http://whatsmystylepersonality.com/)
20:25:17	4117/4117	---M--	200	added ('OK')	image/svg+xml	etag:%2258a97ec4-1015%22	http://whatsmystylepersonality.com/img/pinterest.svg	C:/Users/Dominique/Desktop/findyourstyle/whatsmystylepersonality.com/img/pinterest.svg	(from http://whatsmystylepersonality.com/)
20:25:18	4293/4293	---M--	200	added ('OK')	image/svg+xml	etag:%2258a97ec0-10c5%22	http://whatsmystylepersonality.com/img/googleplus.svg	C:/Users/Dominique/Desktop/findyourstyle/whatsmystylepersonality.com/img/googleplus.svg	(from http://whatsmystylepersonality.com/)
20:25:18	639/639	---M--	200	added ('OK')	image/svg+xml	etag:%22201bae-27f-548e0489a22bb%22	http://whatsmystylepersonality.com/img/close.svg	C:/Users/Dominique/Desktop/findyourstyle/whatsmystylepersonality.com/img/close.svg	(from http://whatsmystylepersonality.com/)
20:25:18	1148/1148	---M--	200	added ('OK')	image/svg+xml	etag:%2258a97ebf-47c%22	http://whatsmystylepersonality.com/img/email.svg	C:/Users/Dominique/Desktop/findyourstyle/whatsmystylepersonality.com/img/email.svg	(from http://whatsmystylepersonality.com/)
20:25:22	140841/140841	---M--	200	added ('OK')	image/jpeg	etag:%2258a9a71e-22629%22	http://hush-staging.awcoagency.com/assets/Urban-Hero-Image-Right.jpg	C:/Users/Dominique/Desktop/findyourstyle/hush-staging.awcoagency.com/assets/Urban-Hero-Image-Right.jpg	(from http://whatsmystylepersonality.com/)
20:25:24	35266/35266	---MC-	200	added ('OK')	text/javascript	date:Fri,%2018%20May%202018%2001:10:24%20GMT	https://www.google-analytics.com/analytics.js	C:/Users/Dominique/Desktop/findyourstyle/www.google-analytics.com/analytics.js	(from http://whatsmystylepersonality.com/)
20:25:24	140082/140082	---M--	200	added ('OK')	image/jpeg	etag:%2258aab42d-22332%22	http://hush-staging.awcoagency.com/assets/mf2.jpg	C:/Users/Dominique/Desktop/findyourstyle/hush-staging.awcoagency.com/assets/mf2.jpg	(from http://whatsmystylepersonality.com/)
20:25:28	170824/170824	---M--	200	added ('OK')	image/jpeg	etag:%2258a86826-29b48%22	http://hush-staging.awcoagency.com/assets/Colour-Riot-Hero-Image-Right.jpg	C:/Users/Dominique/Desktop/findyourstyle/hush-staging.awcoagency.com/assets/Colour-Riot-Hero-Image-Right.jpg	(from http://whatsmystylepersonality.com/)
